map,rank_tier,rank,agent,kd,kills,deaths,assists,win_rate,pick_rate,acs,first_blood_pct,num_matches
All Maps,3,Iron 1,Sage,0.78,11.5,14.7,4.2,51.9,18.8,164,11.7,9231
All Maps,3,Iron 1,Raze,0.9,13.1,14.6,4.3,44.2,11.7,207,13.9,5763
All Maps,3,Iron 1,Jett,1.01,14.3,14.1,4.1,53.8,10.8,210,15.2,5304
All Maps,3,Iron 1,Reyna,1.01,14.7,14.6,3.9,48.5,10.3,224,14.7,5049
All Maps,3,Iron 1,Viper,0.8,11.0,13.9,4.3,49.3,6.9,165,11.8,3417
All Maps,3,Iron 1,Killjoy,0.86,12.6,14.7,4.3,51.6,6.6,185,12.2,3264
All Maps,3,Iron 1,Phoenix,0.99,13.1,13.3,4.2,62.3,6.3,202,14.7,3111
All Maps,3,Iron 1,Omen,0.85,12.6,14.7,4.5,53.4,6.0,189,14.0,2958
All Maps,3,Iron 1,Sova,0.8,12.1,15.1,5.4,49.0,5.1,182,13.4,2499
All Maps,3,Iron 1,Brimstone,0.89,12.8,14.3,5.6,54.3,4.8,192,11.1,2346
All Maps,3,Iron 1,Skye,0.76,10.4,13.7,3.6,52.6,3.9,149,10.9,1938
All Maps,3,Iron 1,Yoru,0.86,12.2,14.2,3.3,52.6,3.9,186,14.9,1938
All Maps,3,Iron 1,Cypher,0.95,14.5,15.3,5.0,36.4,2.3,193,8.8,1122
All Maps,3,Iron 1,Breach,0.75,11.4,15.2,4.4,52.4,2.2,161,11.3,1071
All Maps,3,Iron 1,Astra,1.2,15.3,12.8,4.8,50.0,0.4,217,8.2,204
All Maps,4,Iron 2,Sage,0.75,11.1,14.7,4.5,46.5,16.9,163,11.3,5151
All Maps,4,Iron 2,Reyna,1.02,16.0,15.7,4.5,49.3,11.5,224,16.3,3519
All Maps,4,Iron 2,Raze,0.85,13.1,15.3,4.8,50.0,9.7,198,13.3,2958
All Maps,4,Iron 2,Jett,0.99,15.4,15.6,4.0,46.4,9.3,223,16.9,2856
All Maps,4,Iron 2,Killjoy,1.0,13.6,13.6,4.4,51.9,8.7,203,8.5,2652
All Maps,4,Iron 2,Omen,0.86,13.1,15.2,3.9,52.1,8.0,192,13.6,2448
All Maps,4,Iron 2,Sova,0.78,11.2,14.4,5.1,47.9,8.0,169,10.4,2448
All Maps,4,Iron 2,Viper,0.92,14.2,15.4,5.7,44.7,6.3,195,9.3,1938
All Maps,4,Iron 2,Phoenix,1.11,14.6,13.2,4.1,62.5,5.3,219,16.0,1632
All Maps,4,Iron 2,Yoru,0.93,13.3,14.3,3.3,47.8,3.8,193,16.0,1173
All Maps,4,Iron 2,Cypher,0.78,11.7,15.0,5.3,34.8,3.8,173,10.0,1173
All Maps,4,Iron 2,Brimstone,0.79,12.1,15.3,5.9,43.8,2.7,178,10.9,816
All Maps,4,Iron 2,Skye,0.98,13.9,14.2,4.5,53.3,2.5,193,11.5,765
All Maps,4,Iron 2,Breach,0.93,12.4,13.4,5.3,69.2,2.2,192,11.2,663
All Maps,4,Iron 2,Astra,0.7,9.9,14.0,4.0,42.9,1.2,158,15.9,357
All Maps,5,Iron 3,Sage,0.84,12.0,14.2,4.3,49.6,17.7,176,11.7,21471
All Maps,5,Iron 3,Reyna,1.06,15.6,14.7,4.4,50.0,13.1,233,15.7,15912
All Maps,5,Iron 3,Jett,1.04,15.5,14.9,4.1,51.4,10.4,231,17.6,12597
All Maps,5,Iron 3,Raze,0.97,14.4,14.9,4.9,52.1,8.9,219,14.5,10863
All Maps,5,Iron 3,Killjoy,0.96,13.3,13.8,4.4,49.0,8.1,200,9.8,9792
All Maps,5,Iron 3,Sova,0.91,13.0,14.3,5.4,53.8,7.1,191,11.2,8619
All Maps,5,Iron 3,Viper,0.85,12.6,14.8,5.2,44.4,6.3,184,11.6,7701
All Maps,5,Iron 3,Omen,0.96,13.8,14.3,4.1,55.0,6.3,197,11.5,7701
All Maps,5,Iron 3,Phoenix,0.93,13.9,15.0,3.9,43.3,5.3,206,14.9,6477
All Maps,5,Iron 3,Brimstone,0.91,12.9,14.1,5.8,48.0,4.1,195,12.5,4998
All Maps,5,Iron 3,Skye,0.85,12.7,14.9,4.2,47.9,4.0,184,11.9,4896
All Maps,5,Iron 3,Cypher,0.91,12.8,14.1,4.4,53.7,3.4,179,10.6,4182
All Maps,5,Iron 3,Yoru,0.8,12.3,15.4,3.5,47.8,2.9,182,13.1,3519
All Maps,5,Iron 3,Breach,0.85,12.4,14.6,5.2,47.4,1.6,188,13.8,1938
All Maps,5,Iron 3,Astra,0.95,14.5,15.2,5.2,47.1,0.7,206,10.6,867
All Maps,6,Bronze 1,Sage,0.88,12.4,14.1,4.4,53.0,18.4,179,11.4,15096
All Maps,6,Bronze 1,Reyna,1.06,15.7,14.7,4.5,51.3,14.7,232,16.3,12036
All Maps,6,Bronze 1,Jett,1.02,15.0,14.7,4.2,55.9,10.0,225,16.9,8211
All Maps,6,Bronze 1,Raze,1.0,15.1,15.0,4.8,51.6,8.0,230,13.7,6528
All Maps,6,Bronze 1,Killjoy,1.0,13.8,13.8,4.2,52.0,7.7,202,10.5,6273
All Maps,6,Bronze 1,Omen,0.88,12.9,14.7,4.4,50.0,7.6,186,12.0,6222
All Maps,6,Bronze 1,Sova,0.92,13.2,14.3,5.2,52.4,6.5,199,12.2,5355
All Maps,6,Bronze 1,Viper,0.87,12.7,14.5,4.9,48.3,5.5,187,11.3,4539
All Maps,6,Bronze 1,Phoenix,1.09,16.4,15.0,4.4,49.3,4.2,240,14.4,3417
All Maps,6,Bronze 1,Brimstone,0.8,12.6,15.7,6.1,33.3,4.1,187,12.5,3366
All Maps,6,Bronze 1,Skye,0.86,12.8,14.8,4.1,46.9,4.0,190,13.0,3264
All Maps,6,Bronze 1,Cypher,0.93,13.2,14.2,4.2,44.4,3.9,185,9.9,3213
All Maps,6,Bronze 1,Yoru,0.97,14.2,14.6,4.2,50.0,2.9,210,13.0,2346
All Maps,6,Bronze 1,Breach,0.76,11.6,15.2,5.0,38.5,1.6,171,13.2,1326
All Maps,6,Bronze 1,Astra,0.91,13.2,14.5,3.4,53.8,0.8,182,11.6,663
All Maps,7,Bronze 2,Sage,0.91,12.8,14.0,4.5,54.5,16.7,186,11.1,35853
All Maps,7,Bronze 2,Reyna,1.1,16.6,15.1,4.3,51.4,13.9,243,16.5,29784
All Maps,7,Bronze 2,Jett,1.07,15.8,14.8,4.0,51.2,11.0,231,17.4,23613
All Maps,7,Bronze 2,Omen,0.96,14.1,14.8,4.7,51.4,8.6,204,12.0,18360
All Maps,7,Bronze 2,Killjoy,0.97,13.3,13.7,4.3,53.3,7.9,203,9.9,17034
All Maps,7,Bronze 2,Sova,0.92,13.2,14.4,5.6,46.1,7.9,193,10.1,17034
All Maps,7,Bronze 2,Raze,1.0,15.5,15.5,5.0,45.4,7.8,235,14.2,16728
All Maps,7,Bronze 2,Viper,1.05,14.5,13.8,4.8,56.1,5.0,211,11.9,10812
All Maps,7,Bronze 2,Phoenix,1.05,14.9,14.3,3.8,55.9,4.8,225,17.1,10302
All Maps,7,Bronze 2,Brimstone,0.9,13.3,14.7,6.0,48.8,4.0,196,12.4,8670
All Maps,7,Bronze 2,Cypher,0.92,13.4,14.6,4.3,44.9,3.5,190,10.8,7497
All Maps,7,Bronze 2,Skye,0.87,13.2,15.1,4.0,44.4,3.4,189,12.2,7344
All Maps,7,Bronze 2,Yoru,0.94,14.1,15.0,3.4,46.1,2.7,208,16.1,5865
All Maps,7,Bronze 2,Breach,0.95,13.3,14.0,4.9,60.0,1.5,204,15.8,3315
All Maps,7,Bronze 2,Astra,0.92,14.0,15.2,4.8,48.8,1.0,193,10.8,2091
All Maps,8,Bronze 3,Sage,0.95,13.6,14.2,4.4,51.1,15.7,191,11.1,32844
All Maps,8,Bronze 3,Reyna,1.14,16.9,14.8,4.4,50.7,14.8,248,15.8,31008
All Maps,8,Bronze 3,Jett,1.1,16.9,15.3,4.1,52.4,12.1,243,17.3,25194
All Maps,8,Bronze 3,Omen,0.98,14.8,15.1,4.7,50.6,8.4,209,12.2,17544
All Maps,8,Bronze 3,Raze,0.99,15.4,15.6,5.2,54.3,8.0,229,15.3,16728
All Maps,8,Bronze 3,Killjoy,0.96,13.6,14.2,4.4,52.8,7.4,201,10.6,15555
All Maps,8,Bronze 3,Sova,0.94,13.5,14.3,5.6,50.3,7.2,202,11.4,14994
All Maps,8,Bronze 3,Viper,0.92,13.8,14.9,5.3,49.8,5.0,195,10.9,10353
All Maps,8,Bronze 3,Phoenix,1.01,15.2,15.1,4.2,52.3,4.7,224,15.9,9843
All Maps,8,Bronze 3,Brimstone,0.96,13.8,14.5,6.1,49.1,4.1,200,12.4,8619
All Maps,8,Bronze 3,Skye,0.96,14.2,14.9,4.2,54.5,3.5,201,14.2,7293
All Maps,8,Bronze 3,Cypher,0.96,14.4,14.9,4.5,45.0,3.2,201,10.0,6681
All Maps,8,Bronze 3,Breach,0.96,14.2,14.8,5.1,57.6,2.4,203,13.4,5049
All Maps,8,Bronze 3,Yoru,1.04,15.2,14.6,3.5,44.9,2.4,225,16.4,4998
All Maps,8,Bronze 3,Astra,0.94,14.2,15.1,4.7,50.0,1.1,192,10.7,2244
All Maps,9,Silver 1,Reyna,1.15,17.5,15.2,4.2,51.6,15.3,252,15.9,57732
All Maps,9,Silver 1,Sage,0.92,13.5,14.6,4.4,49.1,14.9,189,11.5,56151
All Maps,9,Silver 1,Jett,1.13,17.3,15.3,3.9,49.4,13.0,246,17.7,49011
All Maps,9,Silver 1,Omen,0.98,15.0,15.4,5.1,51.3,8.6,208,12.8,32487
All Maps,9,Silver 1,Raze,1.0,15.7,15.7,4.9,47.6,7.7,235,15.2,28917
All Maps,9,Silver 1,Sova,0.96,14.1,14.7,5.7,51.5,7.4,202,11.4,27846
All Maps,9,Silver 1,Killjoy,1.0,13.9,14.0,4.2,50.9,6.8,205,10.5,25653
All Maps,9,Silver 1,Viper,1.01,14.7,14.6,5.4,49.7,5.3,205,11.2,19788
All Maps,9,Silver 1,Phoenix,1.07,16.4,15.3,4.4,50.8,4.4,240,17.0,16677
All Maps,9,Silver 1,Brimstone,0.94,14.0,14.9,6.6,52.8,4.1,201,11.3,15555
All Maps,9,Silver 1,Cypher,0.93,13.6,14.6,4.4,48.7,4.1,192,11.1,15402
All Maps,9,Silver 1,Skye,0.94,14.2,15.1,4.0,48.2,3.0,197,12.6,11322
All Maps,9,Silver 1,Breach,0.96,14.9,15.5,4.8,51.5,2.3,211,14.8,8721
All Maps,9,Silver 1,Yoru,0.93,14.6,15.7,3.6,43.0,2.0,207,15.5,7701
All Maps,9,Silver 1,Astra,1.06,15.1,14.3,4.7,45.5,1.0,208,11.7,3927
All Maps,10,Silver 2,Jett,1.14,17.6,15.4,4.0,50.2,15.6,248,18.1,32946
All Maps,10,Silver 2,Reyna,1.17,18.1,15.5,4.2,52.0,15.5,256,16.4,32844
All Maps,10,Silver 2,Sage,0.96,13.9,14.5,4.6,52.1,12.4,195,12.0,26316
All Maps,10,Silver 2,Omen,0.93,14.0,15.1,5.1,48.7,9.1,199,12.4,19176
All Maps,10,Silver 2,Raze,1.05,16.2,15.4,4.9,50.3,8.3,241,15.7,17646
All Maps,10,Silver 2,Killjoy,1.01,14.0,13.8,4.0,50.9,7.0,206,9.7,14841
All Maps,10,Silver 2,Sova,0.96,14.0,14.6,5.6,46.4,6.4,203,9.9,13617
All Maps,10,Silver 2,Viper,1.0,14.6,14.7,5.6,49.8,5.2,206,10.6,11067
All Maps,10,Silver 2,Phoenix,1.09,16.5,15.2,4.0,49.0,4.8,237,15.7,10098
All Maps,10,Silver 2,Brimstone,1.01,14.9,14.9,6.6,45.8,3.7,215,11.6,7905
All Maps,10,Silver 2,Cypher,0.99,14.1,14.3,4.3,47.3,3.6,197,8.8,7650
All Maps,10,Silver 2,Skye,0.97,14.2,14.7,3.9,45.9,2.6,204,13.8,5559
All Maps,10,Silver 2,Yoru,0.91,14.7,16.1,3.7,42.2,2.2,203,14.3,4590
All Maps,10,Silver 2,Breach,0.94,14.5,15.4,5.4,47.7,2.1,208,12.8,4386
All Maps,10,Silver 2,Astra,0.99,14.9,15.1,4.8,33.9,1.4,211,9.7,3009
All Maps,11,Silver 3,Reyna,1.2,18.2,15.2,4.1,50.8,16.4,260,16.4,24072
All Maps,11,Silver 3,Jett,1.17,18.0,15.4,3.8,51.6,15.5,256,18.7,22746
All Maps,11,Silver 3,Sage,0.98,14.3,14.6,4.7,53.2,12.8,196,11.3,18870
All Maps,11,Silver 3,Omen,0.97,14.4,14.8,5.1,48.6,8.5,203,12.3,12495
All Maps,11,Silver 3,Raze,1.03,15.9,15.4,5.2,54.9,7.1,236,16.4,10506
All Maps,11,Silver 3,Sova,1.0,14.1,14.0,5.8,48.5,7.1,204,9.8,10404
All Maps,11,Silver 3,Killjoy,1.02,13.8,13.5,3.8,52.9,6.5,206,10.5,9537
All Maps,11,Silver 3,Viper,1.07,15.1,14.1,5.4,54.3,5.2,213,10.9,7701
All Maps,11,Silver 3,Phoenix,1.08,16.5,15.3,4.4,52.0,4.3,237,17.4,6273
All Maps,11,Silver 3,Cypher,0.96,14.0,14.6,4.5,45.1,4.2,200,10.6,6222
All Maps,11,Silver 3,Brimstone,0.94,14.1,15.0,6.4,47.5,4.1,203,13.4,6018
All Maps,11,Silver 3,Skye,0.98,14.6,15.0,3.8,50.0,3.1,205,13.1,4488
All Maps,11,Silver 3,Breach,0.87,13.9,15.9,5.1,46.0,2.2,197,14.0,3213
All Maps,11,Silver 3,Yoru,1.02,16.2,15.9,3.6,51.7,2.0,228,15.9,2958
All Maps,11,Silver 3,Astra,0.99,15.0,15.2,5.4,41.4,1.0,208,10.1,1479
All Maps,12,Gold 1,Reyna,1.16,17.7,15.2,4.3,52.9,15.1,253,16.9,13872
All Maps,12,Gold 1,Jett,1.1,16.8,15.3,3.6,48.7,14.8,244,19.0,13617
All Maps,12,Gold 1,Sage,1.0,14.1,14.1,4.3,57.2,13.9,197,11.1,12750
All Maps,12,Gold 1,Omen,0.95,14.5,15.2,5.0,46.8,10.4,201,12.6,9588
All Maps,12,Gold 1,Raze,1.03,16.4,15.9,5.1,55.0,7.8,243,16.1,7140
All Maps,12,Gold 1,Sova,0.94,14.3,15.3,5.9,35.3,6.4,201,10.1,5916
All Maps,12,Gold 1,Killjoy,0.97,13.4,13.9,4.3,49.0,5.6,201,9.5,5100
All Maps,12,Gold 1,Cypher,1.02,14.8,14.5,4.1,53.5,4.8,202,10.6,4386
All Maps,12,Gold 1,Brimstone,0.96,14.3,15.0,6.5,48.1,4.5,203,9.5,4131
All Maps,12,Gold 1,Phoenix,0.91,14.2,15.6,4.0,34.7,4.2,215,17.5,3825
All Maps,12,Gold 1,Viper,0.98,14.5,14.8,5.1,43.1,4.0,204,12.6,3672
All Maps,12,Gold 1,Skye,0.94,14.3,15.1,3.9,39.7,3.2,200,12.9,2958
All Maps,12,Gold 1,Yoru,1.0,15.8,15.7,3.4,28.9,2.1,215,13.4,1938
All Maps,12,Gold 1,Breach,0.84,13.2,15.6,5.9,38.7,1.7,194,16.7,1581
All Maps,12,Gold 1,Astra,1.06,15.6,14.7,4.8,51.9,1.5,208,11.6,1377
All Maps,13,Gold 2,Jett,1.12,17.5,15.6,3.7,45.9,16.4,248,19.4,14790
All Maps,13,Gold 2,Reyna,1.14,17.8,15.6,4.0,46.5,15.4,252,15.7,13821
All Maps,13,Gold 2,Sage,1.01,14.1,14.0,4.4,56.5,14.1,198,12.4,12648
All Maps,13,Gold 2,Omen,0.97,14.8,15.2,5.6,55.2,8.2,206,11.8,7395
All Maps,13,Gold 2,Sova,0.95,13.9,14.7,6.3,55.9,7.7,200,9.7,6936
All Maps,13,Gold 2,Raze,1.06,16.3,15.3,4.9,54.0,7.1,247,16.2,6426
All Maps,13,Gold 2,Killjoy,0.98,13.7,14.0,3.8,54.5,7.0,198,9.0,6273
All Maps,13,Gold 2,Viper,1.02,15.1,14.7,5.5,55.8,4.4,207,11.7,3927
All Maps,13,Gold 2,Cypher,0.88,12.9,14.6,3.8,40.5,4.2,183,9.7,3774
All Maps,13,Gold 2,Phoenix,1.04,15.9,15.3,3.8,43.8,4.1,235,16.1,3723
All Maps,13,Gold 2,Skye,0.99,15.0,15.1,4.1,55.1,3.9,205,11.7,3519
All Maps,13,Gold 2,Brimstone,0.97,14.6,15.1,6.8,50.9,3.2,200,13.1,2907
All Maps,13,Gold 2,Breach,0.95,14.6,15.4,4.7,50.0,1.6,201,14.6,1428
All Maps,13,Gold 2,Yoru,0.91,14.6,16.0,3.3,20.8,1.4,205,18.2,1224
All Maps,13,Gold 2,Astra,0.97,15.1,15.6,5.0,45.8,1.4,198,9.4,1224
All Maps,14,Gold 3,Reyna,1.12,17.1,15.2,3.9,47.1,17.3,244,15.9,14076
All Maps,14,Gold 3,Jett,1.14,17.5,15.4,3.7,55.4,16.2,247,18.4,13158
All Maps,14,Gold 3,Sage,0.99,14.3,14.4,4.7,53.3,12.4,196,9.9,10047
All Maps,14,Gold 3,Omen,1.01,15.0,14.9,5.3,55.8,8.1,211,12.9,6579
All Maps,14,Gold 3,Sova,1.01,14.0,13.9,5.6,51.7,7.5,201,10.7,6120
All Maps,14,Gold 3,Raze,1.0,15.8,15.8,4.9,42.9,7.5,231,15.3,6069
All Maps,14,Gold 3,Killjoy,1.05,14.6,13.9,4.1,52.9,6.5,214,10.0,5304
All Maps,14,Gold 3,Viper,0.99,13.5,13.7,5.1,56.8,4.6,196,11.4,3774
All Maps,14,Gold 3,Cypher,0.99,13.9,14.1,3.6,52.1,4.6,194,11.4,3723
All Maps,14,Gold 3,Phoenix,0.94,14.2,15.2,3.6,47.2,4.5,217,18.4,3672
All Maps,14,Gold 3,Brimstone,0.98,14.5,14.7,7.2,52.9,3.2,204,11.0,2601
All Maps,14,Gold 3,Skye,0.93,13.5,14.5,3.6,35.3,3.2,196,11.9,2601
All Maps,14,Gold 3,Breach,1.03,14.8,14.4,4.8,54.5,2.1,210,12.5,1683
All Maps,14,Gold 3,Astra,1.01,15.5,15.4,4.8,42.1,1.2,199,8.8,969
All Maps,14,Gold 3,Yoru,0.9,14.1,15.6,3.9,52.6,1.2,213,14.2,969
All Maps,15,Platinum 1,Reyna,1.17,17.6,15.1,4.1,49.7,16.0,252,16.0,9333
All Maps,15,Platinum 1,Jett,1.17,17.4,14.9,3.7,58.9,15.7,247,19.8,9180
All Maps,15,Platinum 1,Sage,1.05,15.4,14.7,4.8,56.9,13.3,207,11.7,7803
All Maps,15,Platinum 1,Sova,0.97,13.9,14.3,6.0,47.9,8.4,205,9.6,4896
All Maps,15,Platinum 1,Raze,1.02,15.4,15.2,4.6,49.4,7.6,236,17.7,4437
All Maps,15,Platinum 1,Omen,0.93,14.3,15.4,5.7,50.6,7.6,194,10.1,4437
All Maps,15,Platinum 1,Killjoy,1.01,14.7,14.6,4.4,52.1,6.4,203,9.1,3723
All Maps,15,Platinum 1,Cypher,0.9,14.2,15.7,4.5,42.4,5.1,182,8.9,3009
All Maps,15,Platinum 1,Viper,0.96,13.8,14.3,5.3,36.8,5.0,200,12.1,2907
All Maps,15,Platinum 1,Phoenix,1.05,16.9,16.1,4.8,52.3,3.8,245,17.2,2244
All Maps,15,Platinum 1,Skye,1.05,14.6,13.8,4.2,62.2,3.2,201,11.9,1887
All Maps,15,Platinum 1,Brimstone,0.84,13.0,15.5,7.6,44.4,3.1,188,10.5,1836
All Maps,15,Platinum 1,Breach,0.84,12.5,14.9,6.8,48.0,2.2,190,17.6,1275
All Maps,15,Platinum 1,Astra,1.03,14.4,13.9,5.2,64.7,1.5,188,12.7,867
All Maps,15,Platinum 1,Yoru,0.9,15.4,17.0,4.2,30.8,1.1,213,16.0,663
All Maps,16,Platinum 2,Jett,1.11,17.2,15.6,4.0,50.0,16.6,239,20.1,6528
All Maps,16,Platinum 2,Reyna,1.17,17.7,15.1,4.5,53.9,14.9,249,16.7,5865
All Maps,16,Platinum 2,Sage,0.96,13.9,14.5,4.3,54.1,14.4,193,10.2,5661
All Maps,16,Platinum 2,Omen,0.94,13.9,14.8,5.8,47.9,9.4,194,12.3,3723
All Maps,16,Platinum 2,Sova,0.98,14.3,14.6,6.1,50.8,8.2,207,9.3,3213
All Maps,16,Platinum 2,Raze,0.99,16.0,16.2,5.0,47.3,7.1,231,17.9,2805
All Maps,16,Platinum 2,Killjoy,0.95,14.0,14.7,4.4,48.9,6.1,199,9.6,2397
All Maps,16,Platinum 2,Viper,1.01,13.5,13.3,4.9,63.4,5.3,199,11.9,2091
All Maps,16,Platinum 2,Cypher,0.83,12.4,15.0,3.2,39.5,4.9,181,9.7,1938
All Maps,16,Platinum 2,Skye,0.96,14.1,14.6,3.4,40.0,3.2,195,10.8,1275
All Maps,16,Platinum 2,Brimstone,0.9,14.3,15.8,7.2,47.8,3.0,195,12.5,1173
All Maps,16,Platinum 2,Yoru,1.07,17.1,16.0,3.5,37.5,2.1,253,18.2,816
All Maps,16,Platinum 2,Phoenix,1.07,16.6,15.6,4.6,50.0,2.1,235,18.0,816
All Maps,16,Platinum 2,Breach,0.87,12.1,13.9,6.7,54.5,1.4,185,12.0,561
All Maps,16,Platinum 2,Astra,0.92,14.1,15.4,5.5,45.5,1.4,196,11.0,561
All Maps,17,Platinum 3,Jett,1.15,18.1,15.7,3.5,47.2,19.5,254,19.6,6273
All Maps,17,Platinum 3,Reyna,1.09,17.4,16.0,4.0,51.1,14.9,242,16.3,4794
All Maps,17,Platinum 3,Sage,0.97,14.4,14.8,4.7,44.8,10.6,194,11.4,3417
All Maps,17,Platinum 3,Omen,0.96,14.4,15.0,5.8,50.0,10.4,192,11.3,3366
All Maps,17,Platinum 3,Sova,0.99,13.2,13.4,5.8,51.9,8.2,198,8.0,2652
All Maps,17,Platinum 3,Raze,1.1,17.8,16.1,5.1,48.8,6.8,244,17.5,2193
All Maps,17,Platinum 3,Cypher,0.9,13.7,15.3,3.7,54.3,5.5,183,10.6,1785
All Maps,17,Platinum 3,Killjoy,1.02,14.6,14.3,3.7,61.8,5.4,202,10.7,1734
All Maps,17,Platinum 3,Phoenix,1.1,17.2,15.6,3.4,65.6,5.1,240,18.0,1632
All Maps,17,Platinum 3,Viper,0.96,14.4,15.0,6.2,66.7,3.8,197,11.3,1224
All Maps,17,Platinum 3,Skye,0.91,13.8,15.1,3.2,36.8,3.0,197,14.1,969
All Maps,17,Platinum 3,Brimstone,0.86,13.6,15.7,7.2,57.1,2.2,183,8.9,714
All Maps,17,Platinum 3,Breach,0.88,14.4,16.4,5.8,38.5,2.1,188,11.2,663
All Maps,17,Platinum 3,Astra,1.12,14.9,13.3,4.3,66.7,1.9,200,6.7,612
All Maps,17,Platinum 3,Yoru,0.88,14.8,16.8,3.3,50.0,0.6,215,13.6,204
All Maps,18,Diamond 1,Jett,1.08,17.1,15.8,3.6,46.3,15.6,238,20.8,9588
All Maps,18,Diamond 1,Reyna,1.16,17.7,15.3,3.7,52.8,13.2,241,17.1,8109
All Maps,18,Diamond 1,Sage,0.94,14.0,14.8,4.4,49.3,12.1,193,9.7,7446
All Maps,18,Diamond 1,Sova,1.01,14.6,14.4,6.7,56.6,10.1,207,9.2,6222
All Maps,18,Diamond 1,Omen,1.06,15.5,14.7,6.6,59.4,8.8,210,10.2,5406
All Maps,18,Diamond 1,Raze,1.03,16.4,15.9,5.3,62.5,8.0,238,17.0,4896
All Maps,18,Diamond 1,Viper,1.03,15.1,14.6,5.9,55.4,6.1,209,11.6,3774
All Maps,18,Diamond 1,Cypher,0.93,13.6,14.6,4.0,48.5,5.6,193,8.4,3468
All Maps,18,Diamond 1,Killjoy,0.95,13.9,14.7,4.0,41.5,5.4,196,11.9,3315
All Maps,18,Diamond 1,Skye,1.03,15.0,14.6,4.0,49.0,4.1,206,9.8,2499
All Maps,18,Diamond 1,Brimstone,1.02,14.6,14.3,7.0,50.0,3.5,206,9.4,2142
All Maps,18,Diamond 1,Phoenix,0.95,15.8,16.6,4.6,40.6,2.7,226,17.9,1632
All Maps,18,Diamond 1,Astra,1.07,14.8,13.8,5.7,50.0,2.0,200,9.3,1224
All Maps,18,Diamond 1,Yoru,1.09,16.6,15.3,3.6,41.2,1.4,233,15.5,867
All Maps,18,Diamond 1,Breach,0.89,14.1,15.8,5.9,43.8,1.3,190,10.2,816
All Maps,19,Diamond 2,Jett,1.1,17.9,16.2,3.6,50.0,18.5,242,21.7,4386
All Maps,19,Diamond 2,Reyna,1.1,17.0,15.5,3.6,45.6,14.6,239,14.7,3468
All Maps,19,Diamond 2,Sova,1.01,14.6,14.4,6.6,44.0,10.8,206,8.9,2550
All Maps,19,Diamond 2,Sage,1.0,14.1,14.1,4.2,45.5,9.5,197,12.3,2244
All Maps,19,Diamond 2,Raze,1.01,15.2,15.0,5.0,52.9,7.3,235,14.7,1734
All Maps,19,Diamond 2,Cypher,1.03,15.0,14.6,4.0,41.2,7.3,202,11.4,1734
All Maps,19,Diamond 2,Viper,0.9,13.7,15.3,6.4,51.7,6.2,192,15.1,1479
All Maps,19,Diamond 2,Omen,0.83,12.1,14.7,6.4,46.4,6.0,180,14.1,1428
All Maps,19,Diamond 2,Killjoy,0.94,13.4,14.3,4.3,73.1,5.6,187,9.7,1326
All Maps,19,Diamond 2,Skye,0.93,14.4,15.5,4.5,47.4,4.1,190,13.5,969
All Maps,19,Diamond 2,Brimstone,1.04,15.0,14.5,7.4,58.8,3.7,207,9.8,867
All Maps,19,Diamond 2,Astra,1.01,14.1,13.9,5.2,36.4,2.4,195,6.5,561
All Maps,19,Diamond 2,Breach,0.95,15.7,16.6,7.3,44.4,1.9,209,17.0,459
All Maps,19,Diamond 2,Phoenix,0.93,15.7,16.8,3.7,16.7,1.3,223,14.9,306
All Maps,19,Diamond 2,Yoru,0.86,14.0,16.3,3.0,25.0,0.9,213,17.9,204
All Maps,20,Diamond 3,Jett,0.93,15.0,16.1,4.1,46.2,20.6,219,22.1,663
All Maps,20,Diamond 3,Reyna,1.38,18.0,13.0,3.7,45.5,17.5,292,16.2,561
All Maps,20,Diamond 3,Sage,0.96,12.0,12.5,5.6,80.0,15.9,188,10.0,510
All Maps,20,Diamond 3,Viper,1.8,21.0,11.7,4.7,83.3,9.5,259,9.5,306
All Maps,20,Diamond 3,Cypher,1.12,14.3,12.8,4.0,75.0,6.3,211,10.5,204
All Maps,20,Diamond 3,Raze,1.3,18.3,14.0,4.5,75.0,6.3,281,15.1,204
All Maps,20,Diamond 3,Killjoy,1.18,13.3,11.3,1.3,66.7,4.8,192,5.0,153
All Maps,20,Diamond 3,Sova,0.66,10.3,15.7,5.3,33.3,4.8,185,19.4,153
All Maps,20,Diamond 3,Omen,0.79,11.5,14.5,4.5,0.0,3.2,171,8.7,102
All Maps,20,Diamond 3,Skye,1.11,15.5,14.0,2.5,100.0,3.2,193,9.7,102
All Maps,20,Diamond 3,Astra,0.97,15.0,15.5,4.0,0.0,3.2,204,0.0,102
All Maps,20,Diamond 3,Phoenix,0.97,16.0,16.5,3.5,50.0,3.2,214,25.0,102
All Maps,20,Diamond 3,Brimstone,0.92,11.0,12.0,6.0,100.0,1.6,194,9.1,51
Ascent,3,Iron 1,Sage,0.73,10.5,14.5,3.4,50.0,19.2,146,10.3,1224
Ascent,3,Iron 1,Raze,1.09,15.2,13.9,5.0,38.9,14.4,244,11.7,918
Ascent,3,Iron 1,Reyna,1.25,18.6,14.8,4.3,41.7,9.6,274,14.3,612
Ascent,3,Iron 1,Jett,0.85,13.1,15.5,5.1,54.5,8.8,185,15.3,561
Ascent,3,Iron 1,Killjoy,0.84,12.9,15.3,4.8,40.0,8.0,182,9.3,510
