map,rank_tier,rank,agent,kd,kills,deaths,assists,win_rate,pick_rate,acs,first_blood_pct,num_matches
Split,7,Bronze 2,Viper,1.17,15.9,13.5,5.0,57.1,4.0,232,12.8,1428
Split,7,Bronze 2,Skye,0.97,13.9,14.3,3.4,45.5,3.1,194,11.1,1122
Split,7,Bronze 2,Yoru,1.28,14.3,11.2,2.5,75.0,1.7,228,11.0,612
Split,7,Bronze 2,Astra,0.84,12.9,15.4,5.9,37.5,1.1,171,11.7,408
Split,7,Bronze 2,Breach,1.21,17.9,14.7,4.6,71.4,1.0,256,16.8,357
Split,8,Bronze 3,Sage,0.9,13.2,14.6,4.6,47.6,16.2,183,11.0,6426
Split,8,Bronze 3,Reyna,1.1,16.8,15.2,4.3,46.8,16.2,241,14.8,6426
Split,8,Bronze 3,Jett,1.1,16.0,14.5,4.0,49.4,11.4,240,17.1,4539
Split,8,Bronze 3,Raze,0.92,14.2,15.5,4.9,51.8,10.7,214,14.2,4233
Split,8,Bronze 3,Omen,0.97,15.4,15.8,5.3,48.2,7.2,209,10.7,2856
Split,8,Bronze 3,Killjoy,0.93,13.7,14.7,5.0,51.9,6.7,206,8.2,2652
Split,8,Bronze 3,Brimstone,0.98,13.9,14.2,6.5,54.0,6.4,202,12.2,2550
Split,8,Bronze 3,Sova,0.9,12.4,13.8,5.0,35.0,5.1,196,9.7,2040
Split,8,Bronze 3,Phoenix,0.97,15.0,15.4,3.9,46.7,3.9,221,14.7,1530
Split,8,Bronze 3,Cypher,0.92,13.2,14.3,4.8,48.1,3.5,188,9.8,1377
Split,8,Bronze 3,Viper,0.9,13.2,14.7,4.4,42.3,3.3,191,8.2,1326
Split,8,Bronze 3,Breach,0.93,13.5,14.6,5.4,70.8,3.1,189,11.1,1224
Split,8,Bronze 3,Yoru,0.99,14.9,15.0,3.5,60.9,3.0,212,16.3,1173
Split,8,Bronze 3,Skye,0.92,13.4,14.6,3.9,35.0,2.6,196,13.1,1020
Split,8,Bronze 3,Astra,0.99,14.9,15.0,6.0,57.1,0.9,196,8.7,357
Split,9,Silver 1,Sage,0.93,14.0,15.0,4.6,45.3,17.6,192,10.8,11934
Split,9,Silver 1,Reyna,1.15,17.1,14.9,4.5,53.2,13.0,249,16.4,8823
Split,9,Silver 1,Jett,1.15,17.7,15.5,4.2,47.8,12.1,253,18.4,8211
Split,9,Silver 1,Omen,1.02,15.9,15.5,4.8,48.1,10.0,217,13.6,6783
Split,9,Silver 1,Raze,1.01,16.4,16.2,5.7,53.0,8.7,243,14.4,5865
Split,9,Silver 1,Killjoy,1.02,14.5,14.2,4.2,50.5,7.3,207,10.6,4947
Split,9,Silver 1,Cypher,0.96,13.7,14.3,4.7,54.2,5.4,190,11.6,3672
Split,9,Silver 1,Sova,0.93,13.5,14.5,5.7,49.2,4.9,196,11.1,3315
Split,9,Silver 1,Viper,0.94,14.4,15.3,6.0,42.1,4.3,204,11.6,2907
Split,9,Silver 1,Brimstone,0.97,15.0,15.5,6.8,51.8,4.2,212,10.8,2856
Split,9,Silver 1,Phoenix,1.01,15.5,15.3,4.6,49.1,4.0,232,16.5,2703
Split,9,Silver 1,Skye,0.88,12.6,14.4,3.5,51.3,2.9,181,13.0,1989
Split,9,Silver 1,Breach,0.85,14.4,16.9,4.6,37.1,2.6,204,16.9,1785
Split,9,Silver 1,Yoru,0.91,15.1,16.6,3.7,40.0,1.9,205,17.5,1275
Split,9,Silver 1,Astra,1.13,17.6,15.6,3.9,42.9,1.1,229,11.0,714
Split,10,Silver 2,Reyna,1.17,18.3,15.6,4.5,53.6,16.5,248,15.3,5712
Split,10,Silver 2,Jett,1.11,17.4,15.7,3.9,48.4,14.0,240,18.5,4845
Split,10,Silver 2,Sage,1.0,14.0,14.0,4.9,52.9,12.5,200,12.4,4335
Split,10,Silver 2,Raze,1.01,16.2,16.0,5.4,53.6,10.2,240,16.9,3519
Split,10,Silver 2,Omen,0.9,14.1,15.7,4.9,45.0,8.8,196,12.2,3060
Split,10,Silver 2,Killjoy,1.05,14.7,14.0,4.0,49.1,8.1,215,10.7,2805
Split,10,Silver 2,Cypher,0.99,14.1,14.2,5.0,54.3,5.2,191,6.9,1785
Split,10,Silver 2,Viper,0.96,14.2,14.8,5.7,39.4,4.9,206,11.5,1683
Split,10,Silver 2,Brimstone,0.96,15.5,16.2,6.9,35.7,4.1,214,13.3,1428
Split,10,Silver 2,Sova,0.94,14.1,15.0,6.2,48.1,4.0,201,8.2,1377
Split,10,Silver 2,Phoenix,1.1,18.5,16.8,5.5,50.0,3.8,252,16.5,1326
Split,10,Silver 2,Breach,0.78,12.1,15.5,5.2,35.3,2.5,191,15.6,867
Split,10,Silver 2,Skye,1.07,15.4,14.4,3.7,60.0,2.2,210,15.6,765
Split,10,Silver 2,Yoru,0.83,13.2,15.8,4.2,61.5,1.9,184,16.3,663
Split,10,Silver 2,Astra,1.03,16.8,16.3,5.3,0.0,1.2,217,9.7,408
Split,11,Silver 3,Reyna,1.17,18.2,15.5,3.9,38.7,14.8,255,15.6,3825
Split,11,Silver 3,Jett,1.17,18.5,15.8,3.7,52.1,14.4,259,20.5,3723
Split,11,Silver 3,Sage,1.06,15.4,14.6,4.7,51.5,13.4,213,13.0,3468
Split,11,Silver 3,Raze,1.16,17.6,15.2,6.0,62.2,8.9,263,17.2,2295
Split,11,Silver 3,Omen,1.01,15.0,14.9,4.6,43.2,8.7,217,11.5,2244
Split,11,Silver 3,Killjoy,1.19,16.1,13.6,4.0,58.8,6.7,233,12.8,1734
Split,11,Silver 3,Cypher,1.09,15.0,13.8,4.4,40.0,5.9,211,14.0,1530
Split,11,Silver 3,Phoenix,1.05,17.2,16.4,4.5,51.9,5.3,238,19.8,1377
Split,11,Silver 3,Viper,1.0,13.4,13.4,5.7,48.0,4.9,206,7.5,1275
Split,11,Silver 3,Brimstone,0.98,14.9,15.2,7.4,61.9,4.1,213,15.1,1071
Split,11,Silver 3,Sova,1.01,14.2,14.1,5.8,41.2,3.4,209,9.9,867
Split,11,Silver 3,Skye,1.0,15.8,15.9,3.1,40.0,3.0,216,10.1,765
Split,11,Silver 3,Breach,0.71,12.4,17.3,4.9,50.0,2.8,178,12.7,714
Split,11,Silver 3,Yoru,1.07,16.8,15.7,2.8,45.5,2.2,238,15.7,561
Split,11,Silver 3,Astra,0.9,12.8,14.1,6.5,50.0,1.6,188,7.8,408
Split,12,Gold 1,Sage,0.99,13.6,13.8,4.5,55.8,16.0,195,11.7,2652
Split,12,Gold 1,Reyna,1.12,16.5,14.8,4.1,51.0,15.7,241,16.2,2601
Split,12,Gold 1,Jett,1.0,15.4,15.4,3.4,43.2,13.6,232,20.0,2244
Split,12,Gold 1,Omen,0.89,13.1,14.7,4.4,48.6,10.8,191,11.8,1785
Split,12,Gold 1,Raze,0.97,17.4,17.9,4.9,51.9,8.3,243,16.3,1377
Split,12,Gold 1,Killjoy,0.85,11.3,13.3,4.1,40.0,7.7,193,8.1,1275
Split,12,Gold 1,Cypher,1.14,16.0,14.0,4.3,68.2,6.8,220,14.0,1122
Split,12,Gold 1,Skye,0.9,13.2,14.7,4.8,63.6,3.4,189,9.7,561
Split,12,Gold 1,Viper,0.75,12.0,16.0,6.8,20.0,3.1,180,11.7,510
Split,12,Gold 1,Sova,0.92,14.4,15.6,4.8,20.0,3.1,217,9.7,510
Split,12,Gold 1,Phoenix,0.93,12.6,13.5,3.9,40.0,3.1,209,17.5,510
Split,12,Gold 1,Brimstone,1.04,14.6,14.0,6.7,55.6,2.8,209,11.5,459
Split,12,Gold 1,Breach,0.81,12.6,15.5,6.0,25.0,2.5,195,19.8,408
Split,12,Gold 1,Yoru,0.81,14.6,18.0,3.8,20.0,1.5,193,11.0,255
Split,12,Gold 1,Astra,1.25,14.8,11.8,4.6,80.0,1.5,208,8.1,255
