job_title,industry,experience,city,state,salary
Senior Attorney,Nonprofit,11 - 20 years,Washington,DC,85000.0
Operations Manager,Catering (Wedding & Other Events),8 - 10 years,Portland,ME,65000.0
Librarian,Libraries,5 - 7 years,Baltimore,MD,45000.0
Software Engineer,Technology,8 - 10 years,Chicago,IL,94000.0
Marketing Manager,CPG,5 - 7 years,Dallas,TX,115000.0
Principal Software Engineer,Software,8 - 10 years,Portland,OR,195000.0
Tax Specialist,Oil & Gas,5 - 7 years,Pittsburgh,PA,75000.0
Gift Planning Officer,Nonprofit,8 - 10 years,Washington,DC,80000.0
General Manager,Parking,11 - 20 years,Phoenix,AZ,60000.0
Executive Director,Academia,11 - 20 years,Portland,OR,150000.0
DBA,IT,11 - 20 years,St. Louis,MO,109000.0
Librarian,Professional/Trade Associations,8 - 10 years,Washington,DC,55000.0
Assistant Editor,Publishing,2 - 4 years,New York,NY,45500.0
RIM Administrator,Biotech,21 - 30 years,Boston,MA,105000.0
Economist,Federal Government,5 - 7 years,Washington,DC,88959.0
Client Support,Early Childhood Education,8 - 10 years,Minneapolis,MN,35500.0
Quality Systems Administrator,Medical Devices,8 - 10 years,Portland,OR,45000.0
Product Manager,Educational Technology,8 - 10 years,Minneapolis,MN,67000.0
Policy Analyst,Nonprofit sector/public policy,5 - 7 years,Washington,DC,65000.0
Associate Analyst,Grocery/Retail,5 - 7 years,Austin,TX,49000.0
Manager,Nonprofit,8 - 10 years,Dallas,TX,70000.0
Department Head,Technology,8 - 10 years,Washington,DC,150000.0
Associate,Law,5 - 7 years,Chicago,IL,280000.0
Project Accountant,Architecture,8 - 10 years,San Francisco,CA,56000.0
Office Manager,Market Research,5 - 7 years,Washington,DC,67000.0
Senior Analyst,Public Safety,21 - 30 years,Portland,OR,88100.0
Chief of Staff,Higher Education,11 - 20 years,New York,NY,130000.0
Manager,Advertising,8 - 10 years,New York,NY,90000.0
Executive Administrative Assistant,Finance,2 - 4 years,Minneapolis,MN,50000.0
Associate,Consulting,1 year or less,New York,NY,73000.0
Policy Director,Nonprofit/Education/Association,21 - 30 years,Washington,DC,84000.0
Director,Finance,8 - 10 years,New York,NY,280000.0
Business Manager,Government consulting,8 - 10 years,Washington,DC,111500.0
Assistant Editor,Publishing,5 - 7 years,New York,NY,45390.0
Executive Assistant,Nonprofit,8 - 10 years,Washington,DC,59000.0
Analyst,Mortgage Industry,8 - 10 years,Denver,CO,40000.0
Manager of Media Relations,Nonprofit,8 - 10 years,New York,NY,75000.0
Major Gifts Officer,Nonprofit,11 - 20 years,Minneapolis,MN,70000.0
Research Associate,Healthcare,11 - 20 years,Portland,ME,52000.0
Associate,Nonprofit,8 - 10 years,New York,NY,100000.0
HR Administrator,Tech (software),5 - 7 years,Boston,MA,60000.0
Project Manager,Healthcare,21 - 30 years,Boston,MA,118000.0
